Model,Usable,Year,Acceleration,Top Speed,Range,Efficiency,Fast Charge,Price (in UK Dollar)
Tesla Model Y Long Range Dual Motor,75,Available since February 2022,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,"£52,990"
Tesla Model 3 ,57.5,Available since December 2021,6.1 sec,225 km/h,405 km,142 Wh/km,680 km/h,"£42,990"
BYD ATTO 3 ,60.5,Available since August 2022,7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,"£36,490"
Tesla Model Y ,57.5,Available since November 2022,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"£44,990"
Tesla Model 3 Long Range Dual Motor,75,Available since November 2021,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,"£50,990"
MG MG4 Electric 64 kWh,61.7,Available since October 2022,7.9 sec,160 km/h,360 km,171 Wh/km,420 km/h,"£29,495"
BMW iX xDrive40,71,Available since October 2021,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,"£69,905"
Tesla Model Y Performance,75,Available since March 2022,3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,"£59,990"
Smart #1 ,62,Available since March 2023,6.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,"£35,950"
BMW i4 eDrive40,80.7,Available since November 2021,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,"£57,890"
Tesla Model S Plaid,95,Available since November 2022,2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,"* £115,000"
BMW iX1 xDrive30,64.7,Available since November 2022,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,"£53,245"
Audi e-tron GT RS,85,Available since March 2021,3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h,"£119,000"
Volvo EX30 Single Motor ER,64,Available since June 2023,5.3 sec,180 km/h,370 km,173 Wh/km,550 km/h,"£38,545"
Skoda Enyaq iV 80,77,Available since April 2021,8.6 sec,160 km/h,440 km,175 Wh/km,680 km/h,"£42,925"
BMW iX3 ,74,Available since September 2021,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,"£64,165"
Tesla Model 3 Performance,75,Available since February 2022,3.3 sec,261 km/h,460 km,163 Wh/km,710 km/h,"£57,990"
Kia Niro EV ,64.8,Available since June 2022,7.8 sec,167 km/h,385 km,168 Wh/km,390 km/h,"£37,295"
Mercedes EQS 450+,107.8,Available since October 2021,6.2 sec,210 km/h,635 km,170 Wh/km,950 km/h,"£105,610"
Mercedes EQE 350+,90.6,Available since April 2022,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,N/A
Fiat 500e Hatchback 42 kWh,37.3,Available since November 2020,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,"£31,195"
BMW i4 M50,80.7,Available since November 2021,3.9 sec,225 km/h,450 km,179 Wh/km,700 km/h,"£71,085"
BYD HAN ,85.4,Available since March 2023,3.9 sec,180 km/h,475 km,180 Wh/km,450 km/h,N/A
Hyundai Kona Electric 64 kWh,64,Available since June 2021,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,N/A
Tesla Model S Dual Motor,95,Available since January 2023,3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,"* £96,000"
MG MG5 Electric Long Range,57.4,Available since March 2022,7.7 sec,185 km/h,335 km,171 Wh/km,330 km/h,"£30,995"
Mercedes EQC 400 4MATIC,80,Available since November 2020,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,N/A
BYD TANG ,86.4,Available since August 2022,4.6 sec,180 km/h,360 km,240 Wh/km,330 km/h,N/A
Volkswagen ID.4 Pro Performance,77,Available since January 2021,8.5 sec,160 km/h,410 km,188 Wh/km,630 km/h,"£46,035"
BMW iX xDrive50,105.2,Available since November 2021,4.6 sec,200 km/h,505 km,208 Wh/km,680 km/h,"£102,755"
Dacia Spring Electric 45,25,Available since July 2022,19.1 sec,125 km/h,165 km,152 Wh/km,180 km/h,N/A
Renault Megane E-Tech EV60 220hp,60,Available since April 2022,7.4 sec,160 km/h,380 km,158 Wh/km,530 km/h,"£36,995"
Audi Q4 e-tron 40,76.6,Available since June 2021,8.5 sec,160 km/h,405 km,189 Wh/km,630 km/h,"£50,630"
BMW i7 xDrive60,101.7,Available since November 2022,4.7 sec,240 km/h,510 km,199 Wh/km,760 km/h,"£113,970"
MG ZS EV Long Range,68.3,Available since November 2021,8.4 sec,175 km/h,370 km,185 Wh/km,420 km/h,"£32,995"
MG MG4 Electric 51 kWh,50.8,Available since October 2022,7.7 sec,160 km/h,300 km,169 Wh/km,340 km/h,"£26,995"
Volkswagen ID.4 Pro,77,Available since February 2022,10.4 sec,160 km/h,410 km,188 Wh/km,630 km/h,"£44,605"
Hongqi E-HS9 99 kWh,90,Available since December 2022,4.9 sec,200 km/h,370 km,243 Wh/km,430 km/h,N/A
Volkswagen ID. Buzz Pro,77,Available since September 2022,10.2 sec,145 km/h,345 km,223 Wh/km,480 km/h,"£58,915"
Kia EV6 GT,74,Available since April 2022,3.5 sec,260 km/h,360 km,206 Wh/km,940 km/h,"£62,645"
Renault Zoe ZE50 R110,52,Available since November 2019,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,N/A
Peugeot e-208 ,46.3,Available since November 2021,8.1 sec,150 km/h,285 km,162 Wh/km,460 km/h,"£31,595"
Toyota bZ4X FWD,64,Available since June 2022,7.5 sec,160 km/h,340 km,188 Wh/km,510 km/h,"£46,110"
Audi Q8 e-tron 55 quattro,106,Available since December 2022,5.6 sec,200 km/h,495 km,214 Wh/km,630 km/h,"£77,800"
BMW i4 eDrive35,67,Available since November 2022,6.0 sec,190 km/h,430 km,156 Wh/km,580 km/h,"£49,995"
Kia EV6 Long Range 2WD,74,Available since October 2021,7.3 sec,185 km/h,410 km,180 Wh/km,1070 km/h,"£45,245"
Hyundai IONIQ 6 Long Range AWD,74,Available since November 2022,5.1 sec,185 km/h,440 km,168 Wh/km,1150 km/h,"£50,540"
Volkswagen ID.3 Pro,58,Available since March 2023,7.3 sec,160 km/h,350 km,166 Wh/km,450 km/h,"£37,115"
Mini Cooper SE ,28.9,Available since March 2021,7.3 sec,150 km/h,180 km,161 Wh/km,260 km/h,"£32,550"
Hyundai IONIQ 6 Long Range 2WD,74,Available since December 2022,7.4 sec,185 km/h,495 km,149 Wh/km,1290 km/h,"£47,040"
Fisker Ocean One,106.5,Available since March 2023,3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,"£60,880"
MG MG4 Electric 77 kWh,74.4,Available since August 2023,6.5 sec,180 km/h,425 km,175 Wh/km,430 km/h,"£36,495"
Audi e-tron GT quattro,85,Available since March 2021,4.1 sec,245 km/h,420 km,202 Wh/km,1030 km/h,"£87,800"
Tesla Model Y ,57.5,Available since May 2023,6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,"£44,990"
Nissan Ariya 87kWh,87,Available since July 2022,7.6 sec,160 km/h,450 km,193 Wh/km,540 km/h,"£44,645"
CUPRA Born 150 kW - 58 kWh,58,Available since October 2021,7.3 sec,160 km/h,350 km,166 Wh/km,470 km/h,"£36,475"
Mercedes EQS 580 4MATIC,107.8,Available since October 2021,4.3 sec,210 km/h,595 km,181 Wh/km,890 km/h,N/A
Hyundai IONIQ 5 Long Range 2WD,74,Available since April 2022,7.3 sec,185 km/h,390 km,190 Wh/km,1020 km/h,"£46,945"
Jeep Avenger Electric ,50.8,Available since January 2023,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,"£35,700"
Nissan Leaf ,39,Available since March 2022,7.9 sec,144 km/h,235 km,166 Wh/km,230 km/h,"£28,995"
Mercedes EQB 250,66.5,Available since March 2022,8.9 sec,160 km/h,385 km,173 Wh/km,550 km/h,N/A
Volvo EX30 Single Motor,49,Available since June 2023,5.7 sec,180 km/h,280 km,175 Wh/km,430 km/h,"£33,795"
Fisker Ocean Ultra,106.5,Available since March 2023,4.2 sec,200 km/h,535 km,199 Wh/km,640 km/h,"£49,880"
Skoda Enyaq iV 60,58,Available since April 2021,8.7 sec,160 km/h,340 km,171 Wh/km,460 km/h,"£38,970"
Opel Astra Electric ,50.8,Available since June 2023,8.5 sec,170 km/h,310 km,164 Wh/km,500 km/h,"£39,995"
Rolls-Royce Spectre ,100,Expected from November 2023,4.5 sec,250 km/h,455 km,220 Wh/km,540 km/h,"* £350,000"
Volkswagen ID.4 Pure,52,Available since February 2021,10.9 sec,160 km/h,285 km,182 Wh/km,360 km/h,"£38,845"
BYD DOLPHIN 60.4 kWh,60.5,Available since July 2023,7.0 sec,160 km/h,340 km,178 Wh/km,340 km/h,"* £31,000"
Volkswagen ID.7 Pro,77,Expected from October 2023,8.0 sec,180 km/h,470 km,164 Wh/km,700 km/h,"* £53,000"
Mercedes EQA 250+,70.5,Available since June 2022,8.6 sec,160 km/h,420 km,168 Wh/km,580 km/h,"£52,010"
Kia EV9 99.8 kWh AWD,99.8,Available since June 2023,5.3 sec,200 km/h,430 km,232 Wh/km,780 km/h,"* £65,000"
BMW i5 eDrive40 Sedan,81.2,Available since May 2023,6.0 sec,193 km/h,475 km,171 Wh/km,710 km/h,"£74,105"
Opel Mokka-e ,46.3,Available since November 2021,9.2 sec,150 km/h,260 km,178 Wh/km,420 km/h,"£38,835"
Citroen e-C4 ,46.3,Available since November 2021,9.7 sec,150 km/h,290 km,160 Wh/km,460 km/h,"£31,995"
Volkswagen e-Up! ,32.3,Available since August 2021,11.9 sec,130 km/h,205 km,158 Wh/km,170 km/h,N/A
Volvo EX30 Twin Motor Performance,64,Available since June 2023,3.6 sec,180 km/h,360 km,178 Wh/km,540 km/h,"£40,995"
Hyundai Kona Electric 65 kWh,65.4,Available since July 2023,8.8 sec,170 km/h,390 km,168 Wh/km,400 km/h,"£38,595"
Lucid Air Dream Edition R,118,Available since January 2022,2.9 sec,270 km/h,685 km,172 Wh/km,870 km/h,N/A
Lotus Eletre ,109,Available since March 2023,4.5 sec,250 km/h,495 km,220 Wh/km,1040 km/h,"£89,500"
Kia EV6 Long Range AWD,74,Available since October 2021,5.2 sec,185 km/h,400 km,185 Wh/km,1050 km/h,"£51,745"
Tesla Model X Dual Motor,95,Available since January 2023,3.9 sec,250 km/h,475 km,200 Wh/km,660 km/h,"* £100,000"
Zeekr 001 Performance AWD,94,Expected from September 2023,3.8 sec,200 km/h,505 km,186 Wh/km,700 km/h,N/A
Mercedes EQE 300,89,Available since July 2022,7.3 sec,210 km/h,515 km,173 Wh/km,650 km/h,"£74,345"
Volkswagen ID.7 Pro S,86,Expected from October 2023,7.0 sec,180 km/h,520 km,165 Wh/km,800 km/h,"* £56,000"
CUPRA Born 170 kW - 77 kWh,77,Available since March 2022,7.0 sec,160 km/h,450 km,171 Wh/km,630 km/h,"£41,975"
Mercedes EQB 350 4MATIC,66.5,Available since February 2022,6.2 sec,160 km/h,340 km,196 Wh/km,490 km/h,"£56,810"
Polestar 2 Long Range Single Motor,79,Available since January 2023,6.2 sec,205 km/h,445 km,178 Wh/km,660 km/h,"£48,950"
Tesla Model X Plaid,95,Available since November 2022,2.6 sec,262 km/h,455 km,209 Wh/km,630 km/h,"* £125,000"
ORA Funky Cat 48 kWh,45.4,Available since November 2022,8.3 sec,160 km/h,260 km,175 Wh/km,240 km/h,"£31,995"
Hyundai IONIQ 5 Long Range AWD,74,Available since April 2022,5.1 sec,185 km/h,385 km,192 Wh/km,1010 km/h,"£50,445"
Renault Zoe ZE50 R135,52,Available since November 2019,9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,"£29,995"
BYD DOLPHIN 44.9 kWh Active,44.9,Available since July 2023,10.0 sec,150 km/h,255 km,176 Wh/km,260 km/h,"* £26,000"
Mazda MX-30 ,30,Available since May 2022,9.7 sec,140 km/h,170 km,176 Wh/km,210 km/h,"£31,250"
Opel Corsa-e ,46.3,Available since November 2021,8.1 sec,150 km/h,295 km,157 Wh/km,470 km/h,"£33,930"
Renault Twingo Electric,21.3,Available since November 2020,12.6 sec,135 km/h,135 km,158 Wh/km,-,N/A
Subaru Solterra AWD,64,Available since June 2022,6.9 sec,160 km/h,320 km,200 Wh/km,480 km/h,"£49,995"
MG Marvel R Performance,70,Available since October 2021,4.9 sec,200 km/h,350 km,200 Wh/km,380 km/h,N/A
Smart #1 Brabus,62,Available since March 2023,3.9 sec,180 km/h,315 km,197 Wh/km,490 km/h,"£43,450"
Maxus MIFA 9 ,90,Available since February 2023,9.2 sec,180 km/h,345 km,261 Wh/km,290 km/h,"£65,290"
Volvo XC40 Recharge Single Motor,66,Available since December 2022,7.3 sec,180 km/h,345 km,191 Wh/km,420 km/h,"£46,505"
Fisker Ocean Sport,75,Available since March 2023,7.4 sec,160 km/h,380 km,197 Wh/km,480 km/h,"£35,970"
MG MG4 Electric XPOWER,61.7,Expected from August 2023,3.8 sec,200 km/h,325 km,190 Wh/km,370 km/h,"£36,495"
NIO ET5 100 kWh,90,Available since December 2022,4.0 sec,200 km/h,500 km,180 Wh/km,520 km/h,N/A
Honda e:Ny1 ,62,Available since June 2023,7.6 sec,160 km/h,360 km,172 Wh/km,320 km/h,N/A
Hyundai Kona Electric 39 kWh,39.2,Available since June 2021,9.9 sec,155 km/h,250 km,157 Wh/km,220 km/h,N/A
Lexus RZ 450e,64,Available since February 2023,5.6 sec,160 km/h,320 km,200 Wh/km,480 km/h,"£64,500"
MG Marvel R ,70,Available since October 2021,7.9 sec,200 km/h,365 km,192 Wh/km,400 km/h,N/A
Fiat 600e ,50.8,Available since July 2023,9.0 sec,150 km/h,305 km,167 Wh/km,490 km/h,"* £31,000"
Polestar 4 Long Range Dual Motor,94,Expected from February 2024,3.8 sec,200 km/h,475 km,198 Wh/km,710 km/h,"* £60,000"
Nissan Leaf e+,59,Available since March 2022,6.9 sec,157 km/h,340 km,174 Wh/km,240 km/h,"£34,945"
Audi Q8 e-tron Sportback 55 quattro,106,Available since December 2022,5.6 sec,200 km/h,525 km,202 Wh/km,660 km/h,"£80,300"
Zeekr 001 Long Range RWD,94,Expected from September 2023,7.2 sec,200 km/h,530 km,177 Wh/km,740 km/h,N/A
Volvo XC40 Recharge Twin Motor,79,Available since December 2022,4.8 sec,180 km/h,390 km,203 Wh/km,580 km/h,"£51,755"
Audi Q4 e-tron 35,52,Available since June 2021,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,N/A
BMW iX M60,105.2,Available since April 2022,3.8 sec,250 km/h,485 km,217 Wh/km,650 km/h,"£122,775"
Hyundai IONIQ 5 Standard Range 2WD,54,Available since July 2021,8.5 sec,185 km/h,295 km,183 Wh/km,720 km/h,"£43,445"
Mercedes EQE SUV 350+,90.6,Available since December 2022,6.7 sec,210 km/h,450 km,201 Wh/km,670 km/h,N/A
Mercedes EQS SUV 580 4MATIC,108.4,Available since December 2022,4.6 sec,210 km/h,485 km,224 Wh/km,630 km/h,"£139,470"
Volkswagen ID.3 Pro S - 4 Seats,77,Available since March 2023,7.9 sec,160 km/h,455 km,169 Wh/km,680 km/h,"£42,870"
MG ZS EV Standard Range,49,Available since November 2021,8.6 sec,175 km/h,265 km,185 Wh/km,250 km/h,"£30,495"
Audi Q4 e-tron 50 quattro,76.6,Available since July 2021,6.2 sec,180 km/h,385 km,199 Wh/km,550 km/h,"£57,010"
Dacia Spring Electric 65 Extreme,25,Available since January 2023,13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,N/A
Polestar 4 Long Range Single Motor,94,Expected from February 2024,7.4 sec,180 km/h,510 km,184 Wh/km,760 km/h,"* £55,000"
Volvo XC40 Recharge Single Motor ER,79,Available since December 2022,7.3 sec,180 km/h,405 km,195 Wh/km,600 km/h,N/A
Audi Q8 e-tron 50 quattro,89,Available since December 2022,6.0 sec,200 km/h,420 km,212 Wh/km,650 km/h,"£67,800"
Genesis GV60 Premium,74,Available since June 2022,7.8 sec,185 km/h,390 km,190 Wh/km,1020 km/h,"£53,905"
Skoda Enyaq Coupe iV RS,77,Available since March 2022,6.5 sec,180 km/h,435 km,177 Wh/km,600 km/h,"£54,370"
Kia EV9 99.8 kWh RWD,99.8,Available since June 2023,9.4 sec,185 km/h,470 km,212 Wh/km,850 km/h,"* £60,000"
Skoda Enyaq Coupe iV 80,77,Available since July 2022,8.7 sec,160 km/h,465 km,166 Wh/km,720 km/h,"£44,825"
Elaris BEO 86 kWh,81,Available since February 2023,8.0 sec,150 km/h,390 km,208 Wh/km,290 km/h,N/A
Skoda Enyaq iV 80x,77,Available since June 2021,6.9 sec,160 km/h,425 km,181 Wh/km,590 km/h,"£50,805"
Mercedes EQV 300 Long,90,Available since September 2020,12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,"£87,995"
Hyundai IONIQ 6 Standard Range 2WD,54,Available since January 2023,8.8 sec,185 km/h,365 km,148 Wh/km,900 km/h,N/A
Skoda Enyaq iV 50,52,Available since May 2021,11.3 sec,160 km/h,305 km,170 Wh/km,250 km/h,N/A
Toyota bZ4X AWD,64,Available since June 2022,6.9 sec,160 km/h,315 km,203 Wh/km,470 km/h,"£52,510"
Polestar 2 Long Range Dual Motor,79,Available since January 2023,4.5 sec,205 km/h,425 km,186 Wh/km,630 km/h,"£52,950"
Mercedes EQB 300 4MATIC,66.5,Available since February 2022,8.0 sec,160 km/h,340 km,196 Wh/km,490 km/h,"£55,310"
Volkswagen ID.4 GTX,77,Available since July 2022,6.3 sec,180 km/h,400 km,193 Wh/km,560 km/h,"£52,865"
NIO ET7 75 kWh,70.5,Available since October 2022,3.8 sec,200 km/h,400 km,176 Wh/km,540 km/h,N/A
Citroen e-C4 X ,46.3,Available since November 2022,9.7 sec,150 km/h,275 km,168 Wh/km,440 km/h,"£31,995"
Mercedes EQS AMG 53 4MATIC+,107.8,Available since February 2022,3.4 sec,250 km/h,540 km,200 Wh/km,810 km/h,"£161,860"
Zeekr X Privilege AWD,64,Expected from September 2023,3.8 sec,180 km/h,350 km,183 Wh/km,520 km/h,N/A
Peugeot e-308 ,50.8,Available since April 2023,9.8 sec,170 km/h,300 km,169 Wh/km,450 km/h,"* £37,000"
Jaguar I-Pace EV400,84.7,Available since January 2023,4.8 sec,200 km/h,380 km,223 Wh/km,360 km/h,"£69,995"
Polestar 3 Long Range Dual motor,107,Available since November 2022,5.0 sec,210 km/h,490 km,218 Wh/km,640 km/h,"£79,900"
Ford Mustang Mach-E ER RWD,91,Available since November 2022,7.0 sec,180 km/h,480 km,190 Wh/km,420 km/h,"£59,380"
Mercedes EQA 250,66.5,Available since June 2022,8.6 sec,160 km/h,395 km,168 Wh/km,570 km/h,N/A
Fisker Ocean Extreme,106.5,Available since March 2023,3.9 sec,205 km/h,530 km,201 Wh/km,630 km/h,"£60,880"
Polestar 2 Standard Range Single Motor,67,Available since January 2023,6.4 sec,205 km/h,385 km,174 Wh/km,460 km/h,"£44,950"
CUPRA Tavascan VZ,77,Expected from November 2023,5.6 sec,180 km/h,410 km,188 Wh/km,610 km/h,"* £55,000"
BYD DOLPHIN 44.9 kWh Boost,44.9,Available since July 2023,8.0 sec,160 km/h,255 km,176 Wh/km,260 km/h,"* £28,500"
Mercedes EQS 500 4MATIC,107.8,Available since June 2022,4.8 sec,210 km/h,590 km,183 Wh/km,880 km/h,N/A
XPENG P7 Wing Edition,82.7,Available since February 2023,4.1 sec,200 km/h,465 km,178 Wh/km,650 km/h,N/A
Nissan Ariya 63kWh,63,Available since July 2022,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,"£39,645"
Honda e Advance,28.5,Available since August 2020,8.3 sec,145 km/h,170 km,168 Wh/km,180 km/h,"£37,395"
Opel Corsa Electric 51 kWh,48.1,Available since July 2023,8.1 sec,150 km/h,315 km,153 Wh/km,490 km/h,"£35,475"
Tesla Model 3 Long Range RWD,75,Available since April 2023,5.9 sec,233 km/h,495 km,152 Wh/km,770 km/h,"£46,990"
Renault Megane E-Tech EV40 130hp,40,Available since April 2022,10.0 sec,150 km/h,260 km,154 Wh/km,370 km/h,N/A
Lucid Air Grand Touring,112,Available since February 2023,3.0 sec,270 km/h,665 km,168 Wh/km,840 km/h,N/A
XPENG G9 RWD Standard Range,75,Available since February 2023,6.4 sec,200 km/h,375 km,200 Wh/km,780 km/h,N/A
Peugeot e-208 51 kWh,48.1,Available since August 2023,8.2 sec,150 km/h,310 km,155 Wh/km,480 km/h,"* £35,000"
CUPRA Tavascan Endurance,77,Expected from November 2023,6.8 sec,180 km/h,425 km,181 Wh/km,630 km/h,"* £50,000"
XPENG P7 RWD Long Range,82.7,Available since February 2023,6.7 sec,200 km/h,500 km,165 Wh/km,700 km/h,N/A
BMW i5 M60 xDrive Sedan,81.2,Available since May 2023,3.8 sec,230 km/h,425 km,191 Wh/km,630 km/h,"£97,745"
Audi SQ8 e-tron ,106,Available since May 2023,4.5 sec,210 km/h,455 km,233 Wh/km,570 km/h,"£97,500"
Peugeot e-2008 54 kWh,50.8,Available since July 2023,9.1 sec,150 km/h,300 km,169 Wh/km,480 km/h,"£36,350"
Mercedes EQS SUV 450+,108.4,Available since December 2022,6.7 sec,210 km/h,500 km,217 Wh/km,650 km/h,N/A
Mercedes EQE SUV 500 4MATIC,90.6,Available since December 2022,4.9 sec,210 km/h,435 km,208 Wh/km,650 km/h,"£108,760"
VinFast VF 9 Extended Range,123,Expected from December 2023,6.5 sec,200 km/h,520 km,237 Wh/km,520 km/h,N/A
Volkswagen ID.4 Pure Performance,52,Available since March 2021,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,"£40,275"
Audi Q4 e-tron 45 quattro,76.6,Available since August 2021,6.9 sec,180 km/h,385 km,199 Wh/km,550 km/h,N/A
NIO EL7 100 kWh,90,Available since December 2022,3.9 sec,200 km/h,430 km,209 Wh/km,450 km/h,N/A
Renault Megane E-Tech EV60 130hp,60,Available since April 2022,10.5 sec,150 km/h,380 km,158 Wh/km,530 km/h,N/A
Mercedes EQS 450 4MATIC,107.8,Available since June 2022,5.6 sec,210 km/h,605 km,178 Wh/km,900 km/h,N/A
Mercedes EQA 350 4MATIC,66.5,Available since May 2021,6.0 sec,160 km/h,350 km,190 Wh/km,500 km/h,"£54,510"
Volvo C40 Recharge Single Motor ER,79,Available since December 2022,7.3 sec,180 km/h,420 km,188 Wh/km,630 km/h,N/A
Mercedes EQE 500 4MATIC,90.6,Available since July 2022,4.7 sec,210 km/h,485 km,187 Wh/km,720 km/h,N/A
