Model,Usable,Year,Acceleration,Top Speed,Range,Efficiency,Fast Charge,Price (in UK Dollar)
SsangYong Korando e-Motion,56,Available since February 2022,8.5 sec,156 km/h,290 km,193 Wh/km,330 km/h,N/A
Mercedes EQE SUV 350 4MATIC,90.6,Available since December 2022,6.6 sec,210 km/h,435 km,208 Wh/km,650 km/h,"£90,560"
XPENG G9 RWD Long Range,94,Available since February 2023,6.4 sec,200 km/h,470 km,200 Wh/km,980 km/h,N/A
MG MG5 Electric Standard Range,46,Available since June 2022,7.7 sec,185 km/h,265 km,174 Wh/km,320 km/h,N/A
Kia EV6 Standard Range 2WD,54,Available since October 2021,8.5 sec,185 km/h,305 km,177 Wh/km,750 km/h,N/A
Lucid Air Dream Edition P,118,Available since January 2022,2.7 sec,270 km/h,665 km,177 Wh/km,840 km/h,N/A
Mercedes EQE AMG 43 4MATIC,90.6,Available since April 2022,4.2 sec,210 km/h,465 km,195 Wh/km,690 km/h,N/A
Hyundai Kona Electric 48 kWh,48.4,Available since July 2023,7.8 sec,160 km/h,295 km,164 Wh/km,280 km/h,"£34,995"
Lotus Eletre R,109,Available since March 2023,2.9 sec,260 km/h,455 km,240 Wh/km,950 km/h,"£120,000"
Volvo EX90 Twin Motor,107,Available since December 2022,5.9 sec,180 km/h,465 km,230 Wh/km,610 km/h,"£96,255"
Volkswagen ID.5 Pro,77,Available since July 2022,10.4 sec,160 km/h,430 km,179 Wh/km,660 km/h,"£50,710"
Volvo C40 Recharge Twin Motor,79,Available since December 2022,4.7 sec,180 km/h,400 km,198 Wh/km,600 km/h,"£53,605"
VinFast VF 9 Standard Range,92,Expected from September 2023,6.5 sec,200 km/h,400 km,230 Wh/km,540 km/h,N/A
Peugeot e-308 SW ,50.8,Expected from August 2023,9.0 sec,150 km/h,300 km,169 Wh/km,450 km/h,"* £38,000"
Audi Q4 Sportback e-tron 40,76.6,Available since August 2021,8.5 sec,160 km/h,425 km,180 Wh/km,660 km/h,"£52,130"
Mercedes EQA 300 4MATIC,66.5,Available since May 2021,7.7 sec,160 km/h,350 km,190 Wh/km,500 km/h,"£53,010"
Porsche Taycan GTS,83.7,Available since February 2022,3.7 sec,250 km/h,450 km,186 Wh/km,1110 km/h,"£110,200"
Mercedes EQB 250+,70.5,Available since November 2022,8.9 sec,160 km/h,410 km,172 Wh/km,550 km/h,N/A
Toyota Proace City Verso Electric L2 50 kWh,46.3,Available since April 2022,11.2 sec,135 km/h,205 km,226 Wh/km,330 km/h,N/A
Opel Astra Sports Tourer Electric ,50.8,Expected from August 2023,8.5 sec,170 km/h,300 km,169 Wh/km,480 km/h,"* £42,000"
Maserati GranTurismo Folgore,83,Available since August 2023,2.7 sec,320 km/h,425 km,195 Wh/km,990 km/h,"* £200,000"
Volvo C40 Recharge Single Motor,66,Available since December 2022,7.3 sec,180 km/h,355 km,186 Wh/km,430 km/h,"£48,355"
Volvo EX90 Twin Motor Performance,107,Available since December 2022,4.9 sec,180 km/h,450 km,238 Wh/km,590 km/h,"£100,555"
DS 3 E-Tense,50.8,Available since November 2022,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,"£37,200"
Mercedes EQE 350 4MATIC,90.6,Available since July 2022,6.3 sec,210 km/h,485 km,187 Wh/km,720 km/h,N/A
Opel Corsa Electric 50 kWh,46.3,Available since July 2023,8.7 sec,150 km/h,295 km,157 Wh/km,470 km/h,"£32,445"
NIO ET7 100 kWh,90,Available since October 2022,3.8 sec,200 km/h,505 km,178 Wh/km,530 km/h,N/A
Renault Kangoo E-Tech Electric,45,Available since December 2022,12.6 sec,132 km/h,220 km,205 Wh/km,230 km/h,N/A
Lexus UX 300e,64,Available since April 2023,7.5 sec,160 km/h,340 km,188 Wh/km,170 km/h,"£47,495"
Ford Mustang Mach-E SR RWD,70,Available since November 2022,6.9 sec,180 km/h,375 km,187 Wh/km,390 km/h,"£50,830"
Hongqi E-HS9 84 kWh,76.5,Available since December 2022,6.5 sec,200 km/h,320 km,239 Wh/km,440 km/h,N/A
BMW i7 eDrive50,101.7,Available since May 2023,5.5 sec,205 km/h,520 km,196 Wh/km,780 km/h,"£100,205"
Zeekr 001 Privilege AWD,94,Expected from September 2023,3.8 sec,200 km/h,500 km,188 Wh/km,700 km/h,N/A
Citroen e-C4 54 kWh,50.8,Available since June 2023,10.0 sec,150 km/h,320 km,159 Wh/km,460 km/h,N/A
Genesis GV70 Electrified Sport,74,Available since October 2022,4.2 sec,235 km/h,350 km,211 Wh/km,860 km/h,"£65,105"
BMW i7 M70 xDrive,101.7,Available since May 2023,3.7 sec,250 km/h,490 km,208 Wh/km,730 km/h,"£163,315"
Fiat 500e Hatchback 24 kWh,21.3,Available since November 2020,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,"£28,195"
Volkswagen ID.5 Pro Performance,77,Available since July 2022,8.4 sec,160 km/h,430 km,179 Wh/km,660 km/h,"£52,185"
Mercedes EQE AMG 53 4MATIC+,90.6,Available since July 2022,3.5 sec,220 km/h,465 km,195 Wh/km,690 km/h,"£114,750"
Aiways U5 ,60,Available since April 2022,7.5 sec,150 km/h,315 km,190 Wh/km,380 km/h,N/A
Peugeot e-208 50 kWh,46.3,Available since August 2023,9.0 sec,150 km/h,290 km,160 Wh/km,460 km/h,"* £32,000"
VinFast VF 8 Plus Standard Range,82,Expected from September 2023,5.5 sec,200 km/h,400 km,205 Wh/km,560 km/h,N/A
Porsche Taycan Plus Sport Turismo,83.7,Available since March 2022,5.4 sec,230 km/h,445 km,188 Wh/km,1090 km/h,"£84,654"
Peugeot e-2008 50 kWh,46.3,Available since August 2023,9.9 sec,150 km/h,270 km,171 Wh/km,430 km/h,N/A
Volvo EX90 Single Motor,101,Available since July 2023,8.4 sec,180 km/h,460 km,220 Wh/km,600 km/h,N/A
Zeekr X Long Range RWD,64,Expected from September 2023,5.6 sec,180 km/h,360 km,178 Wh/km,540 km/h,N/A
Seres 3 ,51,Available since October 2021,8.9 sec,155 km/h,260 km,196 Wh/km,240 km/h,N/A
ORA Funky Cat 63 kWh,59.3,Available since April 2023,8.2 sec,160 km/h,340 km,174 Wh/km,240 km/h,N/A
Polestar 3 Long Range Performance,107,Available since November 2022,4.7 sec,210 km/h,470 km,228 Wh/km,610 km/h,"£85,500"
NIO ET5 75 kWh,70.5,Available since December 2022,4.0 sec,200 km/h,395 km,178 Wh/km,530 km/h,N/A
Kia e-Soul 64 kWh,64,Available since September 2022,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,"£39,045"
Mercedes EQS SUV 450 4MATIC,108.4,Available since December 2022,6.0 sec,210 km/h,490 km,221 Wh/km,640 km/h,"£129,470"
Fiat 500e 3+1 42 kWh,37.3,Available since November 2020,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,N/A
Nissan Ariya e-4ORCE 87kWh - 225 kW,87,Available since July 2022,5.7 sec,200 km/h,405 km,215 Wh/km,480 km/h,"£50,845"
Porsche Taycan Plus,83.7,Available since January 2023,5.4 sec,230 km/h,485 km,173 Wh/km,1190 km/h,"£83,654"
Citroen e-Berlingo M 50 kWh,46.3,Available since September 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"£32,315"
Mercedes EQE 300,89,Available since May 2023,7.3 sec,210 km/h,515 km,173 Wh/km,650 km/h,N/A
Lucid Air Touring,92,Available since May 2023,3.2 sec,250 km/h,580 km,159 Wh/km,970 km/h,N/A
Ford Mustang Mach-E ER AWD,91,Available since November 2022,5.8 sec,180 km/h,440 km,207 Wh/km,390 km/h,"£65,405"
XPENG G9 AWD Long Range,94,Available since February 2023,3.9 sec,200 km/h,440 km,214 Wh/km,920 km/h,N/A
Genesis G80 Electrified Luxury,82.5,Available since June 2022,4.9 sec,225 km/h,440 km,188 Wh/km,880 km/h,"£69,805"
Skoda Enyaq Coupe iV 60,58,Available since July 2022,8.8 sec,160 km/h,355 km,163 Wh/km,480 km/h,N/A
Lucid Air Pure AWD,92,Available since May 2023,4.2 sec,200 km/h,590 km,156 Wh/km,990 km/h,N/A
NIO ET5 Touring 100 kWh,90,Available since July 2023,4.0 sec,200 km/h,485 km,186 Wh/km,500 km/h,N/A
Audi Q8 e-tron Sportback 50 quattro,89,Available since December 2022,6.0 sec,200 km/h,445 km,200 Wh/km,690 km/h,"£70,300"
e.Go e.wave X ,27,Available since December 2022,12.0 sec,135 km/h,150 km,180 Wh/km,-,N/A
Volkswagen ID.5 GTX,77,Available since July 2022,6.3 sec,180 km/h,405 km,190 Wh/km,560 km/h,"£56,545"
Volkswagen ID.4 Pro 4MOTION,77,Available since June 2022,6.9 sec,180 km/h,405 km,190 Wh/km,560 km/h,N/A
Smart #1 Pulse,62,Available since June 2023,3.9 sec,180 km/h,320 km,194 Wh/km,490 km/h,N/A
Polestar 2 Long Range Performance,79,Available since January 2023,4.2 sec,205 km/h,415 km,190 Wh/km,620 km/h,"£57,950"
Skoda Enyaq Coupe iV 80x,77,Available since December 2022,7.0 sec,160 km/h,450 km,171 Wh/km,630 km/h,"£52,505"
NIO EL6 100 kWh,90,Available since July 2023,4.5 sec,200 km/h,440 km,205 Wh/km,460 km/h,N/A
Ford Mustang Mach-E GT,91,Available since November 2022,4.4 sec,200 km/h,425 km,214 Wh/km,380 km/h,"£74,540"
NIO ET5 Touring 75 kWh,70.5,Available since July 2023,4.0 sec,200 km/h,385 km,183 Wh/km,520 km/h,N/A
Porsche Taycan Turbo S,83.7,Available since January 2023,2.8 sec,260 km/h,430 km,195 Wh/km,1060 km/h,"£148,300"
Toyota Proace City Verso Electric L1 50 kWh,46.3,Available since April 2022,11.2 sec,135 km/h,210 km,220 Wh/km,330 km/h,N/A
Porsche Taycan 4S Plus,83.7,Available since January 2023,4.0 sec,250 km/h,480 km,174 Wh/km,1180 km/h,"£94,996"
ORA Funky Cat GT,59.3,Available since April 2023,8.2 sec,160 km/h,330 km,180 Wh/km,230 km/h,N/A
Maserati Grecale Folgore,95,Expected from September 2023,4.1 sec,220 km/h,405 km,235 Wh/km,440 km/h,"* £135,000"
XPENG P7 AWD Performance,82.7,Available since February 2023,4.1 sec,200 km/h,470 km,176 Wh/km,650 km/h,N/A
Skoda Enyaq iV RS,77,Available since February 2023,6.2 sec,180 km/h,420 km,183 Wh/km,580 km/h,"£52,670"
Audi SQ8 e-tron Sportback ,106,Available since May 2023,4.5 sec,210 km/h,480 km,221 Wh/km,610 km/h,"£100,000"
Audi Q4 Sportback e-tron 50 quattro,76.6,Available since August 2021,6.2 sec,180 km/h,400 km,192 Wh/km,570 km/h,"£58,510"
Mercedes EQS SUV 500 4MATIC,108.4,Available since December 2022,5.2 sec,210 km/h,490 km,221 Wh/km,640 km/h,N/A
Porsche Taycan ,71,Available since January 2023,5.4 sec,230 km/h,420 km,169 Wh/km,1030 km/h,"£79,200"
Ford Mustang Mach-E SR AWD,70,Available since November 2022,6.3 sec,180 km/h,345 km,203 Wh/km,360 km/h,N/A
Opel Vivaro-e Combi M 75 kWh,68,Available since October 2020,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Fiat 500e Cabrio 42 kWh,37.3,Available since November 2020,9.0 sec,150 km/h,230 km,162 Wh/km,380 km/h,"£34,195"
Mercedes eVito Tourer Long 90 kWh,90,Available since October 2020,12.0 sec,160 km/h,310 km,290 Wh/km,310 km/h,"£76,368"
CUPRA Born 170 kW - 58 kWh,58,Available since March 2022,6.6 sec,160 km/h,345 km,168 Wh/km,460 km/h,"£39,205"
Peugeot e-Expert Combi Standard 75 kWh,68,Available since February 2021,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Mercedes EQE SUV AMG 53 4MATIC+,90.6,Available since May 2023,3.5 sec,240 km/h,410 km,221 Wh/km,610 km/h,"£133,860"
Genesis GV60 Sport,74,Available since June 2022,5.5 sec,200 km/h,380 km,195 Wh/km,990 km/h,"£58,365"
Fiat 500e 3+1 24 kWh,21.3,Available since July 2022,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,N/A
Audi Q4 Sportback e-tron 35,52,Available since August 2021,9.0 sec,160 km/h,295 km,176 Wh/km,370 km/h,N/A
Aiways U6 ,60,Available since December 2022,7.0 sec,160 km/h,350 km,171 Wh/km,430 km/h,N/A
Opel Combo-e Life 50 kWh,46.3,Available since October 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"£34,085"
Nissan Ariya e-4ORCE 87kWh - 290 kW,87,Available since April 2023,5.1 sec,200 km/h,405 km,215 Wh/km,480 km/h,N/A
Mercedes EQE SUV AMG 43 4MATIC,90.6,Available since December 2022,4.3 sec,210 km/h,415 km,218 Wh/km,620 km/h,N/A
Mercedes EQE 350,89,Available since July 2022,6.4 sec,210 km/h,510 km,175 Wh/km,640 km/h,"£77,345"
Porsche Taycan 4 Cross Turismo,83.7,Available since January 2023,5.1 sec,220 km/h,440 km,190 Wh/km,1080 km/h,"£88,200"
Peugeot e-Rifter Standard 50 kWh,46.3,Available since July 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"£33,120"
Citroen e-C4 X 54 kWh,50.8,Available since June 2023,10.0 sec,150 km/h,305 km,167 Wh/km,440 km/h,N/A
Mercedes EQT 200 Standard,45,Available since June 2023,12.6 sec,132 km/h,225 km,200 Wh/km,230 km/h,N/A
Toyota PROACE Verso M 75 kWh,68,Available since October 2021,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Mercedes EQV 300 Extra-Long,90,Available since October 2020,12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,N/A
NIO EL6 75 kWh,70.5,Available since July 2023,4.5 sec,200 km/h,350 km,201 Wh/km,470 km/h,N/A
Abarth 500e Hatchback,37.8,Available since May 2023,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,"£34,195"
Opel Zafira-e Life L 75 kWh,68,Available since February 2021,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Mercedes eVito Tourer Extra-Long 90 kWh,90,Available since October 2020,12.0 sec,160 km/h,305 km,295 Wh/km,310 km/h,"£83,850"
Peugeot e-Rifter Long 50 kWh,46.3,Available since July 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,"£35,120"
Peugeot e-Expert Combi Long 75 kWh,68,Available since February 2021,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Mercedes EQE 350,89,Available since May 2023,6.4 sec,210 km/h,510 km,175 Wh/km,640 km/h,N/A
Kia e-Soul 39.2 kWh,39.2,Available since September 2022,9.9 sec,157 km/h,230 km,170 Wh/km,200 km/h,"£32,845"
Porsche Taycan Sport Turismo,71,Available since March 2022,5.4 sec,230 km/h,380 km,187 Wh/km,930 km/h,"£80,200"
Mini Cooper SE Convertible,28.9,Available since February 2023,8.2 sec,150 km/h,165 km,175 Wh/km,230 km/h,"£52,500"
NIO EL7 75 kWh,70.5,Available since December 2022,3.9 sec,200 km/h,340 km,207 Wh/km,460 km/h,N/A
Audi Q4 Sportback e-tron 45 quattro,76.6,Available since July 2022,6.9 sec,180 km/h,400 km,192 Wh/km,570 km/h,N/A
Porsche Taycan 4S,71,Available since January 2023,4.0 sec,250 km/h,415 km,171 Wh/km,1020 km/h,"£90,700"
Citroen e-Jumpy Combi M 75 kWh,68,Available since November 2020,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Mercedes EQE 350 4MATIC,89,Available since May 2023,6.3 sec,210 km/h,475 km,187 Wh/km,600 km/h,N/A
Toyota PROACE Verso L 75 kWh,68,Available since October 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Citroen e-SpaceTourer M 50 kWh,46.3,Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"£37,045"
Fiat 500e Cabrio 24 kWh,21.3,Available since July 2022,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,N/A
Fiat E-Ulysse L3 75 kWh,68,Available since June 2022,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Peugeot e-Traveller Standard 50 kWh,46.3,Available since November 2020,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"£42,785"
Citroen e-Berlingo XL 50 kWh,46.3,Available since September 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,"£33,315"
Genesis GV60 Sport Plus,74,Available since June 2022,4.0 sec,235 km/h,365 km,203 Wh/km,950 km/h,"£67,505"
VinFast VF 8 Eco Extended Range,87.7,Expected from September 2023,5.9 sec,200 km/h,425 km,206 Wh/km,550 km/h,N/A
VinFast VF 8 Eco Standard Range,82,Expected from September 2023,5.9 sec,200 km/h,405 km,202 Wh/km,560 km/h,N/A
Citroen e-SpaceTourer M 75 kWh,68,Available since February 2021,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Mercedes EQE AMG 53 4MATIC+,90.6,Available since May 2023,3.5 sec,220 km/h,465 km,195 Wh/km,690 km/h,N/A
Porsche Taycan 4S Cross Turismo,83.7,Available since January 2023,4.1 sec,240 km/h,440 km,190 Wh/km,1080 km/h,"£95,200"
Mercedes EQE 500 4MATIC,90.6,Available since May 2023,4.7 sec,210 km/h,485 km,187 Wh/km,720 km/h,N/A
Peugeot e-Traveller Standard 75 kWh,68,Available since February 2021,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Porsche Taycan Turbo S Cross Turismo,83.7,Available since January 2023,2.9 sec,250 km/h,410 km,204 Wh/km,1010 km/h,"£149,300"
Abarth 500e Convertible,37.8,Available since May 2023,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,"£37,195"
Opel Combo-e Life XL 50 kWh,46.3,Available since October 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,"£34,685"
Porsche Taycan GTS Sport Turismo,83.7,Available since February 2022,3.7 sec,250 km/h,425 km,197 Wh/km,1050 km/h,"£111,200"
Porsche Taycan Turbo S Sport Turismo,83.7,Available since March 2022,2.8 sec,260 km/h,395 km,212 Wh/km,970 km/h,"£149,300"
Peugeot e-Traveller Long 75 kWh,68,Available since February 2021,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
VinFast VF 8 Plus Extended Range,87.7,Expected from September 2023,5.5 sec,200 km/h,425 km,206 Wh/km,550 km/h,N/A
Fiat E-Ulysse L2 75 kWh,68,Available since June 2022,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Opel Zafira-e Life M 50 kWh,46.3,Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"£42,735"
Opel Vivaro-e Combi M 50 kWh,46.3,Available since October 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"£36,995"
Mercedes EQV 250 Extra-Long,60,Available since October 2021,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,N/A
Opel Vivaro-e Combi L 50 kWh,46.3,Available since October 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"£37,835"
Opel Vivaro-e Combi L 75 kWh,68,Available since October 2020,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Mercedes eVito Tourer Extra-Long 60 kWh,60,Available since January 2022,12.0 sec,160 km/h,205 km,293 Wh/km,300 km/h,N/A
Peugeot e-Traveller Long 50 kWh,46.3,Available since November 2020,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"£43,625"
Toyota PROACE Shuttle L 50 kWh,46.3,Available since June 2021,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,N/A
Mercedes EQV 250 Long,60,Available since October 2021,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,N/A
Porsche Taycan Turbo,83.7,Available since January 2023,3.2 sec,260 km/h,445 km,188 Wh/km,1090 km/h,"£125,800"
Porsche Taycan Turbo Cross Turismo,83.7,Available since January 2023,3.3 sec,250 km/h,425 km,197 Wh/km,1050 km/h,"£126,800"
Mercedes eVito Tourer Long 60 kWh,60,Available since January 2022,12.0 sec,160 km/h,210 km,286 Wh/km,310 km/h,N/A
Opel Zafira-e Life M 75 kWh,68,Available since February 2021,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Citroen e-SpaceTourer XL 75 kWh,68,Available since February 2021,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Opel Zafira-e Life L 50 kWh,46.3,Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"£43,575"
Fiat E-Ulysse L2 50 kWh,46.3,Available since June 2022,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,N/A
Toyota PROACE Shuttle M 50 kWh,46.3,Available since June 2021,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,N/A
Citroen e-Jumpy Combi XL 75 kWh,68,Available since November 2020,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
Fiat E-Ulysse L3 50 kWh,46.3,Available since June 2022,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,N/A
Porsche Taycan 4S Sport Turismo,71,Available since March 2022,4.0 sec,250 km/h,370 km,192 Wh/km,910 km/h,"£91,700"
Mercedes EQE AMG 43 4MATIC,90.6,Available since May 2023,4.2 sec,210 km/h,465 km,195 Wh/km,690 km/h,N/A
Peugeot e-Expert Combi Long 50 kWh,46.3,Available since February 2021,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,N/A
Peugeot e-Expert Combi Standard 50 kWh,46.3,Available since February 2021,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,N/A
Porsche Taycan 4S Plus Sport Turismo,83.7,Available since March 2022,4.0 sec,250 km/h,430 km,195 Wh/km,1060 km/h,"£95,996"
Toyota PROACE Shuttle M 75 kWh,68,Available since June 2021,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,N/A
Citroen e-Jumpy Combi M 50 kWh,46.3,Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,N/A
Citroen e-SpaceTourer XL 50 kWh,46.3,Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"£37,885"
Porsche Taycan Turbo Sport Turismo,83.7,Available since March 2022,3.2 sec,260 km/h,405 km,207 Wh/km,1000 km/h,"£126,800"
Citroen e-Jumpy Combi XL 50 kWh,46.3,Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,N/A
Toyota PROACE Shuttle L 75 kWh,68,Available since June 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,N/A
